ID,林道名,取得元
NGN-000001,東嶽,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf
NGN-000002,美濃戸,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf
NGN-000003,裏望岳,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf
NGN-000004,多々羅枝,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf
NGN-000005,多々羅,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf
NGN-000006,坂室,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf
NGN-000007,天皇林支,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf
NGN-000008,大沢山,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf
NGN-000009,高部,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf
NGN-000010,猿ヶ入,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf
NGN-000011,棚嵐線,諏訪市「諏訪市森林整備計画 変更計画書」 https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf
NGN-000012,赤ジッコ線,諏訪市「諏訪市森林整備計画 変更計画書」 https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf
NGN-000013,扇平南峠線,諏訪市「諏訪市森林整備計画 変更計画書」 https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf
NGN-000014,付上線,諏訪市「諏訪市森林整備計画 変更計画書」 https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf
NGN-000015,科ノ木線,諏訪市「諏訪市森林整備計画 変更計画書」 https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf
NGN-000016,日向入山線,諏訪市「諏訪市森林整備計画 変更計画書」 https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf
NGN-000017,上後２号線,諏訪市「諏訪市森林整備計画 変更計画書」 https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf
